"Empresa Genera",Año,Mes,Planta,"Energia Punta","Energia Valle","Energia Noche","Potencia Gen Punta","Potencia Gen Valle","Potencia Gen Noche","Potencia Sist Punta","Potencia Sist Valle","Potencia Sist Noche","Fecha Max","Hora Max","Factor Carga","Consumo Diesel","Consumo Bun","Consumo Bun AZ","Consumo Otro","Consumo Lub","Gasto Diesel","Gasto Bun","Gasto Bun AZ","Gasto Otro","Gasto Lub"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Marzo     ","MIGUEL DENGO",24767344.913,44801656.354,45404797.925,177532.895,177131.57,176703.168,174645.766,174739.34,174939.996,08-03-0202,"Apr 1",0.8881,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Febrero   ",SANDILLAL,3786013.185,6641713.733,7238225.823,31600.678,31739.02,31793.48,29819.617,30043.883,29705.154,22-02-0202,"Mar 1",0.8486,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Febrero   ",TEJONA,1056523.445,1859081.148,2145143.472,10474.681,10282.713,10603.591,3348.595,3942.88,6711.72,23-02-0202,"Mar 1",0.5705,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Febrero   ","TORO I",818340.359,1316324.492,1389140.377,13075.272,13096.667,13082.758,6895.569,6903.19,6950.467,15-02-0202,"Mar 1",0.2064,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Febrero   ","TORO II",3092779.886,5096196.077,2489543.765,52539.027,49127.158,64918.803,26572.849,30693.85,29219.563,14-02-0202,"Mar 1",0.2408,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Febrero   ","TORO III",2261420.366,3721240.295,1825311.539,40444.816,36785.664,45300.385,19195.086,22283.476,21732.771,14-02-0202,"Mar 1",0.2445,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Febrero   ","VENTANAS GARITA",5165668.601,7570814.885,4909712.251,71311.426,79668.023,49406.021,48644.748,49241.165,49406.021,09-02-0202,"Mar 1",0.2626,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Febrero   ","LAS PAILAS",4207169.521,7564285.188,8409599.079,32353.037,32594.824,32684.184,32004.773,31984.07,28746.414,05-02-0202,"Mar 1",0.8580,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Febrero   ","PAILAS II",7236883.677,13021736.009,14450606.204,52204.086,52221.254,52207.133,51688.977,51653.379,52172.375,17-02-0202,"Mar 1",0.9937,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Febrero   ","PEÑAS BLANCAS",1345252.011,2433794.296,1657373.467,35687.043,35864.531,35876.723,1360.84,14541.808,17993.418,15-02-0202,"Mar 1",0.2235,,,,,,,,,,
